publisher,OAI-URI,number,title,date,#forDPLA,#forPrimo,forArchivesWest?
Willamette University Archives and Special Collections,https://libmedia.willamette.edu/condm/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=manuscripts,594,University Archives Manuscripts,2018-06-04,594,0,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=calnon&metadataPrefix=oai_dc,53,Mark Calnon Collection,2018-02-22,53,53,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=hutchison,775,Hutchison Studio Photographs,2018-06-18,775,775,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=47,31,Lewis & Clark Expedition: Nineteenth Century Newspapers,2018-06-28,31,31,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:wes_yearbooks&metadataPrefix=simple-dublin-core,10,Western Evangelical Seminary Yearbooks,2018-06-27,10,10,no
Concordia University,http://commons.cu-portland.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:campus,96,Campus People & Places,2018-06-27,96,96,no
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:the-manuscript&metadataPrefix=oai_dc,13,The Manuscript,2017-10-02,13,13,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=hmcolls,221,Japanese American Internment Collection,20190815,0,0,yes
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:archives_images_spc,93,Seattle Pacific College Images,2017-07-03,93,93,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:archives_publications_spc,25,Seattle Pacific College Publications,2018-06-25,25,25,no
"Western Washington University, Western Libraries Heritage Resources",http://content.wwu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=raymondmsh,121,Raymond (Steve) Slides of Mount St. Helens,2018-08-20,0,0,yes
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=p16866coll3,226,Pacific Northwest Missionary Collection,2018-06-25,226,226,yes
"University of Washington, Special Collections",http://cdm16786.contentdm.oclc.org//oai/oai.php?verb=ListRecords&set=ac&metadataPrefix=oai_dc,1070,Architecture of the Pacific Northwest,2018-06-29,1070,0,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:archives_publications_seminary,50,Seattle Seminary Publications,2018-06-25,50,50,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1895-1899&metadataPrefix=simple-dublin-core,21,The Crescent: 1895-1899,2018-06-27,21,21,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=9,7,Lewis & Clark College: Corbett Estate Architectural Drawings,2018-06-28,7,7,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=bar-stock&metadataPrefix=oai_dc,2358,Barnard-Stockbridge Photograph Collection,2018-05-17,2358,2358,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:iop_etd,16,Industrial-Organizational Psychology Dissertations,2018-06-25,16,16,no
Southern Oregon University,http://cdm16085.contentdm.oclc.org/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=p15013coll4,661,Rogue River National Forest Historic Images,2017-06-30,661,661,no
Linfield College,http://digitalcommons.linfield.edu/do/oai/?verb=ListRecords&set=publication:owha_interviews&metadataPrefix=simple-dublin-core,184,Browse All OWHA Oral History Interviews,2018-06-27,184,184,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=bunkerhill&metadataPrefix=oai_dc,463,Bunker Hill Labor History Collection,2018-02-22,463,463,no
"University of Washington, Special Collections",http://cdm16786.contentdm.oclc.org//oai/oai.php?verb=ListRecords&set=sayre&metadataPrefix=oai_dc,24293,Sayre (J. Willis) Collection of Theatrical Photographs,2018-07-03,24293,0,no
Reed College,https://rdc.reed.edu/oai?verb=ListRecords&set=eliot&metadataPrefix=oai_dc,1213,Thomas Lamb Eliot Papers,2017-09-27,1213,0,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=56,66,"Greetings from Oregon Photograph Collection
",2018-06-28,66,66,no
Southern Oregon University,http://cdm16085.contentdm.oclc.org/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=p16085coll7,417,Kalmiopsis Wilderness,2017-06-13,417,417,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:newton_campbell,36,Newton/Campbell Letters,2018-06-25,36,36,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=stonebraker&metadataPrefix=oai_dc,541,Stonebraker Photograph Collection,2018-06-13,541,541,no
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:denuty,111,Michael J. Denuty Photographs,2018-06-05,111,111,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:spseminary_projects,4,Seattle Pacific Seminary Projects,2017-06-27,4,4,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=17,88,Oregon Images,2018-06-28,88,88,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:pollard_papers,237,C. William Pollard Papers,2018-06-25,237,237,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=watkins&metadataPrefix=oai_dc,80,"Carleton Watkins Mine Interiors Collection (1890, Butte, MT)",2018-03-01,80,80,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=pangborn,60,Clyde Edward Pangborn Collection,2018-06-25,60,60,yes
"University of Washington, Special Collections",http://digitalcollections.lib.washington.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_qdc&set=harriman,254,Harriman Alaska Expedition of 1899,20200131,0,0,yes
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:freeman,126,Otis Willard Freeman Photograph Collection,2018-06-04,126,126,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1940-1944&metadataPrefix=simple-dublin-core,1,The Crescent: 1940-1944,2017-08-29,1,1,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=maps,1260,Early Washington Maps,2018-06-25,368 1260,368 1260,yes
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=barkhuff,281,William D. Barkhuff Image Collection,2018-06-25,281,281,yes
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1900-1904&metadataPrefix=simple-dublin-core,27,The Crescent: 1900-1904,2018-06-27,27,27,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:av_events,2693,Speakers & Events,2018-06-27,2693 70,2693 70,no
"University of Washington, Special Collections",http://cdm16786.contentdm.oclc.org//oai/oai.php?verb=ListRecords&set=alaskawcanada&metadataPrefix=oai_dc,8077,"Alaska, Western Canada and United States",2018-06-29,8077,0,no
Reed College,https://rdc.reed.edu/oai?verb=ListRecords&set=reedhisttxt&metadataPrefix=oai_dc,3765,Reed College Archives,2018-06-26,3765,3765,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1975-1979&metadataPrefix=simple-dublin-core,37,The Crescent: 1975-1979,2017-08-31,37,37,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=banks,1296,Frank A. Banks Collection,2018-06-25,1296,1296,yes
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=chatcolab&metadataPrefix=oai_dc,53,Chatcolab NW Leadership Lab,2018-05-16,53,53,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:spfc_research_conference,103,"School of Psychology, Family, and Community Research Conference",2018-06-26,103,103,no
Linfield College,http://digitalcommons.linfield.edu/do/oai/?verb=ListRecords&set=publication:owha_ohphotos&metadataPrefix=simple-dublin-core,943,Browse All OWHA Oral History Interview Photos,2018-06-27,943,943,no
"Oregon Institute of Technology Libraries, Shaw Historical Library",http://digitallib.oit.edu:80/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=geoheat,1580,Geo-Heat Digital Library,2018-06-08,1580,0,no
Whitman College and Northwest Archives,http://arminda.whitman.edu/do/oai/?verb=ListRecords&metadataPrefix=qdc&set=publication:penitentiary,24,Washington State Penitentiary Records,2017-12-04,0,0,yes
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=18,99,WPA Costumes of the World,2018-06-28,99,99,no
Western Oregon University Archives,http://omeka.wou.edu:8080/oai-pmh-repository/request?verb=ListRecords&set=2&metadataPrefix=oai_dc,23,Western Oregon University President Portraits,2018-06-29,23,23,no
Reed College,https://rdc.reed.edu/oai?verb=ListRecords&set=antiqmaps&metadataPrefix=oai_dc,73,Antiquarian Maps,2018-03-20,73,73,no
"University of Washington, Special Collections",http://cdm16786.contentdm.oclc.org//oai/oai.php?verb=ListRecords&set=barnes&metadataPrefix=oai_dc,302,"Barnes (Albert H.) Photographs of Western Washington, ca. 1895-1920",2018-06-29,302,0,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=rcbutler,1397,Butler Collection,2018-06-25,1397,1397,yes
"University of Puget Sound, Archives & Special Collections",http://digitalcollections.pugetsound.edu/oai/oai.php/request?verb=ListRecords&set=slaterwing&metadataPrefix=oai_dc,3852,Slater Wing and Tail Image Collection,2018-06-27,3852,3852,no
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:whitehouse,42,Harold C. Whitehouse Ecclesiastical Architecture,2018-06-04,42,42,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=nezp,73,Nez Perce Photographs Collection,2017-06-04,0,0,yes
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=p16866coll5,767,Moscow-Pullman Daily News Photograph Collection,2018-06-25,767,767,yes
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1950-1954&metadataPrefix=simple-dublin-core,74,The Crescent: 1950-1954,2017-08-29,74,74,no
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:orange-owl&metadataPrefix=oai_dc,43,Orange Owl,2017-08-16,43,43,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=cullwhite,260,Cull White Photo Collection,2017-06-04,0,0,yes
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:illustrated-booklets&metadataPrefix=oai_dc,29,Illustrated Booklets,2017-08-16,29,29,no
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:osu-fact-book&metadataPrefix=oai_dc,13,Oregon State University Fact Books,2017-08-24,13,13,no
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:historic_cheney,14,"Historic Images of Cheney, WA",2018-06-04,14,14,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=44,5,"Maps: Japan - 1843 Mount Fuji
",2018-06-28,5,5,no
"University of Washington, Special Collections",http://digitalcollections.lib.washington.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_qdc&set=hester,936,Hester (Wilhelm) Photographs,2017-11-27,0,0,yes
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:general-catalogs&metadataPrefix=oai_dc,142,Oregon State University General Catalogs,2017-10-02,142,142,no
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:gillette,216,Robert W. Gillette,2018-06-05,216,216,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=11,8,Lewis & Clark College: Fir Acres Architectural Sketches,2018-06-28,8,8,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=58,222,Japanese Postcard Collection,2018-06-28,222,222,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=psychiana&metadataPrefix=oai_dc,1323,Psychiana Digital Collection,2017-07-11,1323,1323,no
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:osu-commencement-programs&metadataPrefix=oai_dc,137,Oregon State University Commencement Programs,2017-08-24,137,137,no
University of Portland,http://cdm16472.contentdm.oclc.org:80/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=p16472coll3,120,History of Nursing,2018-06-28,120,120,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=plcphotos&metadataPrefix=oai_dc,1570,Potlatch Lumber Company Photograph Collection,2018-03-01,1570,1570,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1960-1964&metadataPrefix=simple-dublin-core,66,The Crescent: 1960-1964,2017-08-31,66,66,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:jir,37,Journal of the Institute for Research,2018-06-26,37,37,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:cpy_etd,32,Clinical Psychology Dissertations,2018-06-25,32,32,no
"University of Montana, Mansfield Library, Archives and Special Collections",http://scholarworks.umt.edu/do/oai/?verb=ListRecords&metadataPrefix=dcs&set=publication:goedicke,33,Patricia Goedicke and Leonard Wallace Robinson Papers,2017-06-04,0,0,yes
"University of Oregon Libraries, Special Collections and University Archives.",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:joel-palmer&metadataPrefix=oai_dc,5750,Joel Palmer Papers,2017-06-30,5750,5750,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1925-1929&metadataPrefix=simple-dublin-core,89,The Crescent: 1925-1929,2018-06-27,89,89,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=1927,1,Apple Week 1927 Publicity Scrapbook,2018-06-27,1,1,yes
"University of Washington, Special Collections",http://digitalcollections.lib.washington.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_qdc&set=19thcenturyactors,843,Nineteenth (19th) Century Actors and Theater Photographs,20200131,0,0,yes
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1891-1894&metadataPrefix=simple-dublin-core,27,The Crescent: 1891-1894,2018-06-27,27,27,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=klondike,420,Klondike Photographs,2018-06-25,420,420,yes
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&set=publication:blonk&metadataPrefix=simple-dublin-core,697,Hubert Blonk Photographs of Grand Coulee Dam,2018-06-04,697,697,no
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:iaa,23,Inland Automobile Association,2018-06-04,23,23,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=boxing&metadataPrefix=oai_dc,52,Donald R. Theophilus Boxing Photograph Collection,2018-02-23,52,52,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=spec_cs&metadataPrefix=oai_dc,212,"C. H. Shattuck, Idaho Lantern Slides, 1904-1910",2018-03-01,212,212,no
